issue_id,product_id,rule_name,severity,jurisdiction,issue_description,current_values,rule_explanation,confidence,migration_state,best_engine,recommended_fix,suggested_fix_1,suggested_fix_2,suggested_fix_3,selected_fix_id,manual_edit,user_action,review_notes,reviewer_name,reviewed_at_utc
29dc20128122,0000000000010,ca_allergen_evidence_missing_ingredients_text,warning,ca,This product violates the rule: allergen_evidence_present > 0.0 && ingredients_text_present == 0.0.,"allergen_evidence_present=1, ingredients_text_present=0, ingredients_text=","Allergen evidence is present, but ingredients text is missing.",0.9102,candidate,soda,Mark ingredients_text_present as 1 after confirming ingredients text exists on the label.,29dc20128122_set_ingredients_present | Mark ingredients_text_present as 1 after confirming ingredients text exists on the label. | confidence=0.77 | This keeps the allergen evidence and restores the expected supporting ingredients text signal.,29dc20128122_clear_allergen_evidence | Set allergen_evidence_present to 0 if the allergen evidence was recorded in error. | confidence=0.61 | Use this only if the allergen evidence flag is the incorrect field.,29dc20128122_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
fa966643d345,0000000000100,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,fa966643d345_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,fa966643d345_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,fa966643d345_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
8b701a2c8d9f,0000000000121,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,8b701a2c8d9f_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,8b701a2c8d9f_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,8b701a2c8d9f_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
eeac7f1c46f1,0000000000142,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,eeac7f1c46f1_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,eeac7f1c46f1_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,eeac7f1c46f1_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
58aa564f311e,0000000000163,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,58aa564f311e_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,58aa564f311e_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,58aa564f311e_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
0bf49b01cef2,0000000000184,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,0bf49b01cef2_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,0bf49b01cef2_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,0bf49b01cef2_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
f16334ddeaa5,0000000000205,ca_contains_statement_without_allergen_evidence,warning,ca,This product violates the rule: contains_statement_present > 0.0 && allergen_evidence_present == 0.0.,"contains_statement_present=1, allergen_evidence_present=0",A contains statement exists without recorded allergen evidence.,0.8005,candidate,dbt,Set allergen_evidence_present to 1.,f16334ddeaa5_set_allergen_evidence | Set allergen_evidence_present to 1. | confidence=0.79 | This is the most direct fix when the contains statement is correct but the evidence flag is missing.,f16334ddeaa5_clear_contains_statement | Set contains_statement_present to 0 if the contains statement was added by mistake. | confidence=0.63 | Use this if the contains statement should not be present for the product.,f16334ddeaa5_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
d4ecdb9e73fb,0000000000001,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,d4ecdb9e73fb_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,d4ecdb9e73fb_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,d4ecdb9e73fb_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
0d1bec6efe38,0000000000008,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,0d1bec6efe38_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,0d1bec6efe38_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,0d1bec6efe38_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
4ac846b4bce8,0000000000009,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,4ac846b4bce8_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,4ac846b4bce8_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,4ac846b4bce8_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
b347c1d5b0b6,0000000000011,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,b347c1d5b0b6_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,b347c1d5b0b6_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,b347c1d5b0b6_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
3ef16bf1ba4b,0000000000017,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,3ef16bf1ba4b_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,3ef16bf1ba4b_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,3ef16bf1ba4b_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
fa9ec9520f20,0000000000028,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,fa9ec9520f20_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,fa9ec9520f20_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,fa9ec9520f20_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
045285e72d2b,0000000000032,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,045285e72d2b_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,045285e72d2b_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,045285e72d2b_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
062d83c84033,0000000000034,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,062d83c84033_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,062d83c84033_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,062d83c84033_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
44280238adc7,0000000000038,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,44280238adc7_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,44280238adc7_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,44280238adc7_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
4e8b4e97ecec,0000000000045,ca_fop_required_but_symbol_missing,error,ca,This product violates the rule: fop_threshold_exceeded > 0.0 && fop_symbol_present == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=1, fop_symbol_present=0, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol seems required but is missing.,0.9306,candidate,dbt,Set fop_symbol_present to 1 after confirming the package carries the symbol.,4e8b4e97ecec_set_symbol | Set fop_symbol_present to 1 after confirming the package carries the symbol. | confidence=0.81 | This is the direct fix when the threshold logic is correct and only the symbol flag is missing.,4e8b4e97ecec_clear_threshold | Set fop_threshold_exceeded to 0 if the product does not actually require the symbol. | confidence=0.57 | Use this if the threshold classification is the field that is wrong.,4e8b4e97ecec_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
4284973e42db,0000000000018,ca_fop_symbol_present_but_not_required,warning,ca,This product violates the rule: fop_symbol_present > 0.0 && fop_threshold_exceeded == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=0, fop_symbol_present=1, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol is present even though it does not appear required.,0.8005,candidate,dbt,Set fop_threshold_exceeded to 1 if the product should require the symbol.,4284973e42db_set_threshold | Set fop_threshold_exceeded to 1 if the product should require the symbol. | confidence=0.58 | Use this if the symbol is correct and the threshold flag is the missing piece.,4284973e42db_clear_symbol | Set fop_symbol_present to 0. | confidence=0.82 | This is the safest fix if the symbol should not appear for this product.,4284973e42db_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
179f11808288,0000000000039,ca_fop_symbol_present_but_not_required,warning,ca,This product violates the rule: fop_symbol_present > 0.0 && fop_threshold_exceeded == 0.0 && fop_exempt_proxy == 0.0 && product_is_prepackaged_proxy > 0.0.,"fop_threshold_exceeded=0, fop_symbol_present=1, fop_exempt_proxy=0, product_is_prepackaged_proxy=1",A front-of-pack symbol is present even though it does not appear required.,0.8005,candidate,dbt,Set fop_threshold_exceeded to 1 if the product should require the symbol.,179f11808288_set_threshold | Set fop_threshold_exceeded to 1 if the product should require the symbol. | confidence=0.58 | Use this if the symbol is correct and the threshold flag is the missing piece.,179f11808288_clear_symbol | Set fop_symbol_present to 0. | confidence=0.82 | This is the safest fix if the symbol should not appear for this product.,179f11808288_manual_review | Keep the row for manual nutrition review. | confidence=0.35 | Use this when none of the suggested single-field fixes can be trusted without label review.,,,,,,
